     0.906699     0.679928     1.863814     2.251994     0.000592     0.026798     9.294053   896.741943     0.013073     0.447669
     0.010005     0.136224     1.317853     2.241751     0.000317     0.027308    17.159489   124.297775     0.001479     0.444939
     0.077097     0.225306     1.646703     2.686704     0.000936     0.029126    19.300512   220.757736     0.002248     0.467497
     0.139982     0.314388     2.053364     3.134471     0.002384     0.010944     1.386138   384.820007     0.003401     0.490298
     0.200664     0.403470     2.587329     3.585083     0.005436     0.012762     3.414346   676.032715     0.005229     0.513801
     0.260668     0.492552     3.366627     4.038574     0.011352     0.014580     5.245204  1232.374878     0.008394     0.538479
     0.321485     0.581634     4.834032     4.494988     0.022090     0.016398     6.956911  2438.590332     0.014797     0.565078
     0.384534     0.670716     0.242774     4.954861     0.040547     0.018216     8.601084  5777.500000     0.033067     0.319630
     0.451877     0.759798     0.410488     0.489161     0.070873     0.020034    10.217216 23868.140625     0.000101     0.348477
     0.526523     0.848880     0.596384     0.923373     0.000002     0.021854    11.840298    11.662054     0.000299     0.374577
     0.613859     0.937962     0.804890     1.360112     0.000018     0.023672    13.508285    31.772049     0.000570     0.398938
     0.726093     0.047093     1.042277     1.799558     0.000088     0.025490    15.260785    66.430122     0.000947     0.422226
     0.016344     0.233342     1.679680     3.626375     0.012096     0.016564     8.749271 29501.613281     0.000321     0.401100
     0.082951     0.322424     2.095267     4.080127     0.023402     0.018382    10.364609    13.038507     0.000600     0.424317
     0.145590     0.411506     2.644784     4.536810     0.042750     0.020200    11.990064    34.204082     0.000988     0.446999
     0.206149     0.500686     3.457994     4.996451     0.074419     0.022018    13.662098    70.529373     0.001537     0.469562
     0.266163     0.589768     0.103327     0.528494     0.000003     0.023836    15.424973   131.109756     0.002333     0.492406
     0.327053     0.678850     0.257355     0.962660     0.000021     0.025654    17.340807   232.188797     0.003534     0.515969
     0.390397     0.767932     0.426651     1.400121     0.000100     0.027472    19.510698   404.847382     0.005447     0.540787
     0.458254     0.857014     0.614406     1.839823     0.000352     0.029292     1.581512   712.672485     0.008796     0.567606
     0.533769     0.946096     0.825253     2.282260     0.001025     0.011109     3.588237  1305.972168     0.015708     0.322402
     0.622789     0.055188     1.065682     2.727473     0.002581     0.012928     5.405532  2612.768311     0.036538     0.350955
     0.738498     0.144260     1.345368     3.175498     0.005833     0.014746     7.109187  6354.606445     0.000117     0.376862
     0.022631     0.330558     2.704966     4.578656     0.000004     0.025820    19.727024   751.060303     0.016695     0.353383
     0.088744     0.419640     3.555712     0.135940     0.000025     0.027638     1.774574  1383.948486     0.040703     0.379105
     0.151180     0.508722     0.116774     0.567899     0.000113     0.029456     3.758526  2801.177979     0.000133     0.403229
     0.211630     0.597804     0.272025     1.002449     0.000391     0.011275     5.563013  7018.515625     0.000342     0.426379
